"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J5";"Straight_1x02";1;"AIN1-";;;
2;"C1,C4,C5";"TantalC_SizeB_EIA-3528_Reflow";3;"10uF";;;
3;"C2,C3,C6,C7";"C_0805";4;"100nF";;;
4;"D1,D2";"SMA_Standard";2;"M4";;;
5;"J1";"Straight_2x03";1;"3÷5V";;;
6;"J2";"Straight_1x02";1;"ACX";;;
7;"J3";"Straight_1x02";1;"~ACX";;;
8;"J4";"Straight_1x02";1;"AIN1+";;;
9;"J6";"Straight_1x02";1;"AIN2+";;;
10;"J7";"Straight_1x02";1;"AIN2-";;;
11;"J8";"Straight_1x02";1;"REFIN-";;;
12;"J9";"Straight_1x02";1;"REFIN+";;;
13;"J10";"Straight_1x03";1;"POL";;;
14;"J11";"Straight_1x02";1;"~RESET";;;
15;"J12";"Straight_1x02";1;"~SYNC";;;
16;"J13";"Straight_1x02";1;"~RDY";;;
17;"J14";"Straight_1x02";1;"~CS";;;
18;"J15";"Straight_1x02";1;"SCLK";;;
19;"J16";"Straight_1x02";1;"DIN";;;
20;"J17";"Straight_1x02";1;"DOUT";;;
21;"J18";"Straight_1x02";1;"~STANDBY";;;
22;"J19";"Straight_2x03";1;"+5V";;;
23;"J20";"Straight_1x02";1;"MCLKIN";;;
24;"J21";"Straight_1x02";1;"MCLKOUT";;;
25;"L1,L2";"C_0805";2;"BLM21PG300SN1D";;;
26;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
27;"R1,R2,R3";"R_0805";3;"10k";;;
28;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MIC4426";;;
29;"U2";"TSSOP-24_4.4x7.8mm_Pitch0.65mm";1;"AD7730";;;
30;"Y1";"Crystal_HC49-U_Vertical";1;"4.9152 MHz";;;
31;"J22";"Straight_1x02";1;"VAA";;;
32;"J23";"Straight_1x02";1;"GND";;;
