"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1,C2,C4,C6,C7";"SMD-0805";5;"100nF";;;
2;"C3,C5";"SMD-0805";2;"10uF";;;
3;"D1";"SMA_Standard";1;"M4";;;
4;"D2,D3";"MiniMELF_Standard";2;"BAT46";;;
5;"D4";"SOT-23";1;"LM4041-adj";;;
6;"J1";"Straight_2x03";1;"JUMP_3X2";;;
7;"J3,J8";"Straight_2x01";2;"CONN_2";;;
8;"J5,J6";"Straight_2x01";2;"JUMP2_2x1";;;
9;"J7";"Straight_2x05";1;"JUMP_5X2";;;
10;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
11;"P1,P2";"WAGO256";2;"_";;;
12;"R1,R2,R4,R5";"SMD-0805";4;"10k";;;
13;"R3";"SMD-0805";1;"3K3";;;
14;"U1";"DFN-10-1EP_3x3mm_Pitch0.5mm";1;"LTC2485";;;
15;"J4";"Straight_1x03";1;"CONN_3";;;
16;"L1";"SMD-0805";1;"BLM21PG300SN1D";;;
17;"C8";"SMD-0805";1;"22nF";;;
18;"R6";"SMD-0805";1;"0R";;;
