"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J6";"2mm_Pin_Header_Straight_2x04";1;"IOS_PORT_#1";;;
2;"C2,C1";"TantalC_SizeB_EIA-3528_Reflow";2;"10uF";;;
3;"J2";"Pin_Header_Straight_2x01";1;"GPIO199";;;
4;"J3";"Pin_Header_Straight_2x01";1;"GPIO200";;;
5;"J4";"Pin_Header_Straight_2x01";1;"GPIO204";;;
6;"J7";"Pin_Header_Straight_2x01";1;"UART_RX";;;
7;"J8";"Pin_Header_Straight_2x01";1;"UART_TX";;;
8;"J9";"Pin_Header_Straight_2x01";1;"SCLK";;;
9;"J10";"Pin_Header_Straight_2x01";1;"MOSI";;;
10;"J11";"2mm_Pin_Header_Straight_2x02";1;"IO_PORT_#2";;;
11;"J12";"Pin_Header_Straight_2x01";1;"#SS";;;
12;"J13";"Pin_Header_Straight_2x01";1;"MISO";;;
13;"J14,J15,J16,J17,J18";"MountingHole_3mm";5;"M3";;;
14;"D1";"Diode-SMA_Standard";1;"BAS85";;;
15;"D2";"Diode-MiniMELF_Standard";1;"BAS85";;;
16;"J1";"Straight_2x03";1;"5V POWER";;;
17;"J5";"Straight_2x03";1;"1,8V CPU Core";;;
