"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U1";"TQFP144";1;"AT32UC3A3";;;
2;"C1";"SM0805";1;"470pF";;;
3;"C2,C5,C9,C14,C19,C22,C23";"SM0805";7;"33nF";;;
4;"C3,C7,C12,C13,C16,C17,C20,C21,C24,C25";"SM0805";10;"100nF";;;
5;"C4";"SM0805";1;"2u2";;;
6;"C6";"SM0805";1;"1nF";;;
7;"C8";"SM0805";1;"4u7";;;
8;"C10";"SM0805";1;"10nF";;;
9;"C11,C15";"SM0805";2;"33n";;;
10;"C18";"SM0805";1;"10pF";;;
11;"C26";"SM0805";1;"100pF";;;
12;"C27";"SM0805";1;"8p2";;;
13;"C28";"SM0805";1;"8p2F";;;
14;"F1";"SM1812";1;"750mA";;;
15;"J33";"USB_B";1;"USB";;;
16;"R1";"SM0805";1;"10k";;;
17;"R3";"SM0805";1;"6k81";;;
18;"R4,R5";"SM0805";2;"33";;;
19;"R6";"SM0805";1;"1k5";;;
20;"X1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
21;"D1";"DO-214AC(SMA)";1;"DIODE";;;
22;"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100,J101,J102,J103,J104,J105,J106,J107,J108,J109,J110,J111";"Pin_Header_Straight_2x01";110;"JUMP_2_CONN";;;
23;"L1";"SM0805";1;"BLM21PG300SN1";;;
24;"R2";"SM0805";1;"10R";;;
25;"U2";"SOT223";1;"NCP1117ST33T3G";;;
26;"C29,C30";"TantalC_SizeB_EIA-3528_Reflow";2;"10uF";;;
27;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE 3mm";;;
28;"CON1";"Straight_2x05";1;"AVR-JTAG-10";;;
29;"J112";"Straight_2x03";1;"HEADER_2x03_PARALLEL";;;
30;"S1,S2";"SW_PUSH_SMALL";2;"SW_PUSH";;;
31;"G***";"QR_code";1;"LOGO";;;
