"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"G***";"LOGO";1;"LOGO";;;
2;"C1,C2,C3,C4,C24,C25,C26,C27,C28,C29,C30";"MLAB_C:TantalC_SizeB_Reflow";11;"10u";;;
3;"C5,C6";"MLAB_R:SMD-0805";2;"470p";;;
4;"C7,C8,C9,C10";"MLAB_R:SMD-0805";4;"180p";;;
5;"C11,C12,C21,C23";"MLAB_C:TantalC_SizeC_Reflow";4;"47u";;;
6;"C13,C14,C20,C22,C31,C32,C33";"MLAB_R:SMD-0805";7;"100n";;;
7;"C15,C16";"MLAB_R:SMD-0805";2;"2n2";;;
8;"C17";"MLAB_R:SMD-0805";1;"4U7";;;
9;"C18";"MLAB_R:SMD-0805";1;"10n";;;
10;"C19";"MLAB_R:SMD-0805";1;"4u7";;;
11;"C34";"MLAB_C:TantalC_SizeB_Reflow";1;"10uF";;;
12;"D1";"MLAB_D:Diode-SMA_Standard";1;"M4";;;
13;"J1,J2,J5";"Hrebinky:Pin_Header_Straight_2x04";3;"JUMP_4X2";;;
14;"J3";"Hrebinky:Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
15;"J6";"Hrebinky:Pin_Header_Straight_2x05";1;"JUMP2_5X2";;;
16;"L1";"MLAB_R:SMD-0805";1;"INDUCTOR_SMALL";;;
17;"R1,R2,R3,R4,R9,R10,R24,R25";"MLAB_R:SMD-0805";8;"1k";;;
18;"R5,R6,R7,R8,R11,R12,R13,R14";"MLAB_R:SMD-0805";8;"47k";;;
19;"R15,R16,R17,R18";"MLAB_R:SMD-0805";4;"22R";;;
20;"R19,R20,R21,R22,R23";"MLAB_R:SMD-0805";5;"10k";;;
21;"U1,U2";"MLAB_IO:SO-8";2;"LT6231CS";;;
22;"U4";"MLAB_IO:SO-8";1;"LE33CD";;;
23;"F1";"MLAB_L:FIR1";1;"NFM21PC105";;;
24;"P1,P2,P3,P4";"Dira:MountingHole_3mm";4;"_";;;
25;"U3";"MLAB_IO:SSOP-20_5.3x7.2mm_Pitch0.65mm";1;"WM8786";;;
26;"X1";"MLAB_XTAL:ASFL1";1;"ASFL1-24.576MHZ-EK";;;
27;"R26,R27";"MLAB_R:SMD-0805";2;"100R";;;
28;"J4";"Hrebinky:Pin_Header_Straight_2x01";1;"CONN1_2";;;
