"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1";"SMD-0805";1;"10nF";;;
2;"C2";"SMD-0805";1;"100nF";;;
3;"C3";"SMD-0805";1;"10uF";;;
4;"J1,J3";"Straight_2x03";2;"JUMP_3X2";;;
5;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
6;"R1,R2";"SMD-0805";2;"R";;;
7;"X1";"ASFL1";1;"ASFL1, ASFLK";;;
8;"X2";"CFPS-72,73";1;"CFPS-72,CFPS-73";;;
9;"X3";"ISM92";1;"ISM92";;;
10;"X4";"ISM97";1;"ISM97";;;
11;"X6";"I533_1534_1733_1734";1;"I533_I534_I733_I734_Series";;;
12;"X7";"ISM81";1;"ISM81";;;
13;"X8";"ISM95";1;"ISM95";;;
14;"X9";"OSC-F";1;"OSC-F";;;
15;"J2";"Straight_1x02";1;"JUMP_2x1";;;
16;"D1";"Diode-MiniMELF_Standard";1;"BZV55C";;;
