"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT1";"CH28-2032";1;"CH28-2032";;;
2;"C1";"SMD-0805";1;"100nF";;;
3;"C2";"SMD-0805";1;"10uF";;;
4;"D1";"Diode-MiniMELF_Standard";1;"BZV55C";;;
5;"D2";"LED_1206";1;"LED";;;
6;"J1";"Straight_2x05";1;"JUMP_5X2";;;
7;"J2";"Straight_2x01";1;"JUMP2_2x1";;;
8;"J3,J4,J5,J6";"Straight_2x01";4;"JUMP_2x1";;;
9;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
10;"R1";"SMD-0805";1;"1K";;;
11;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
12;"Y1";"ABS07";1;"ABS07-120-32.768KHZ-T";;;
13;"R2,R3";"SMD-0805";2;"10K";;;
14;"U1";"TSSOP-10_3x3mm_Pitch0.5mm";1;"PCF85263A";;;
