"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1,C2,C16,C17";"SMD-0805";4;"100nF";;;
2;"C3,C11";"SMD-0805";2;"43pF";;;
3;"C5,C15";"SMD-0805";2;"10uF/16V";;;
4;"C6,C9";"SMD-0805";2;"3.9pF";;;
5;"C7";"SMD-0805";1;"30pF";;;
6;"C10";"TantalC_SizeC_Reflow";1;"47uF/16V";;;
7;"D1";"SMB_Standard";1;"SMBJ15A-E3/52";;;
8;"J1,J2";"SMA6251A13G50";2;"SMA6251A13G50";;;
9;"L1,L11";"SMD-1812";2;"DL4N-100uH";;;
10;"L2,L10";"SMD-0805";2;"100nH";;;
11;"L3,L5,L7";"SMD-0805";3;"33nH";;;
12;"L4,L6";"SMD-0805";2;"-";;;
13;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
