"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J3";"Hrebinky:Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
2;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R23,R24";"SMD_Packages:SMD-0805";22;"10k";;;
3;"U1";"IO:TSSOP-28";1;"TCA6416A";;;
4;"J8,J5";"Hrebinky:Pin_Header_Straight_1x02";2;"CONN1_2";;;
5;"R21";"SMD_Packages:SMD-0805";1;"100R";;;
6;"R22";"SMD_Packages:SMD-0805";1;"0R";;;
7;"P1,P2,P3,P4";"Dira:MountingHole_3mm";4;"_";;;
8;"J1";"Hrebinky:Pin_Header_Straight_2x02";1;"JUMP_2X2";;;
9;"J2";"Hrebinky:Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
10;"J6,J7";"Hrebinky:Pin_Header_Straight_2x08";2;"JUMP_8X2";;;
11;"J4,J9";"Hrebinky:Pin_Header_Straight_1x02";2;"CONN_2";;;
12;"C1";"SMD_Packages:SMD-0805";1;"10uF";;;
13;"C2";"SMD_Packages:SMD-0805";1;"100nF";;;
14;"D1";"MLAB_D:Diode-MiniMELF_Standard";1;"ZENER";;;
