"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J3";"Straight_2x03";1;"JUMP_3X2";;;
2;"J7,J13,J12,J11,J10,J9,J8,J6";"Straight_2x01";8;"JUMP2_2x1";;;
3;"C3,C2";"SMD-0805";2;"10uF";;;
4;"P3,P4,P2,P1";"MountingHole_3mm";4;"_";;;
5;"U1";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"PCA9531";;;
6;"R15,R14,R13,R12,R11,R10,R9,R8";"SMD-0805";8;"1k";;;
7;"R7,R6,R5,R2,R1";"SMD-0805";5;"10k";;;
8;"R4";"SMD-0805";1;"0R";;;
9;"R3";"SMD-0805";1;"-";;;
10;"J21,J20,J19,J18,J17,J16,J15,J14,J5";"Straight_2x01";9;"JUMP_2x1";;;
11;"J4";"Straight_2x05";1;"JUMP_5X2";;;
12;"J2,J1";"Straight_2x01";2;"CONN1_2";;;
13;"D1";"SMA_Standard";1;"M4";;;
14;"C1";"SMD-0805";1;"100nF";;;
