"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"P1";"USB_B";1;"USB_B";;;
2;"U2";"LQFP-64_10x10mm_Pitch0.5mm";1;"FT4232HL";;;
3;"C20,C1,C6,C8,C10,C12,C13,C15,C16,C18,C19,C21";"SMD-0805";12;"100nF";;;
4;"M2,M1,M4,M3";"MountingHole_3mm";4;"HOLE";;;
5;"C2,C4,C7,C11,C14";"SMD-0805";5;"10uF";;;
6;"C3,C5";"SMD-0805";2;"27pF";;;
7;"C9";"SMD-0805";1;"10nF";;;
8;"D1";"Diode-SMA_Standard";1;"M4";;;
9;"D2,D3,D4,D5,D6,D7,D8,D9";"LED_1206";8;"RED";;;
10;"F1";"1812";1;"750mA";;;
11;"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34";"Straight_1x02";34;"JUMP_2x1";;;
12;"J35,J36";"Straight_2x03";2;"JUMP_3X2";;;
13;"L1,L2,L3";"SMD-0805";3;"BLM21PG300SN1";;;
14;"R1,R3,R4,R15";"SMD-0805";4;"10k";;;
15;"R2";"SMD-0805";1;"2k";;;
16;"R5";"SMD-0805";1;"1k";;;
17;"R6";"SMD-0805";1;"12k";;;
18;"R7,R8,R9,R10,R11,R12,R13,R14";"SMD-0805";8;"300R";;;
19;"U1";"SOT-23-6";1;"93LC56BT-I/OT";;;
20;"U3";"SOT-223";1;"LM1117_3V3";;;
21;"U4";"SO-16-N";1;"SN74HC595D";;;
22;"Y1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
