"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C2,C1";"SMD-0805";2;"100nF";;;
2;"C3";"TantalC_SizeD_Reflow";1;"100uF";;;
3;"D1";"Diode-MiniMELF_Standard";1;"BZV55C-5,6V";;;
4;"D2";"Diode-SMA_Standard";1;"M4";;;
5;"J1";"Straight_2x03";1;"JUMP_3X2";;;
6;"J3,J4,J5,J6";"Straight_2x01";4;"JUMP_2x1";;;
7;"J7";"Straight_2x01";1;"JUMP2_2x1";;;
8;"J8,J9,J10,J11,J12,J13";"WAGO256";6;"WAGO256";;;
9;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
10;"R1,R2";"SMD-0805";2;"22k";;;
11;"U1";"WSON-12";1;"DRV8835";;;
12;"J2";"Straight_1x01";1;"CONN1_1";;;
