"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J5,J4";"WAGO256";2;"CONN1_1";;;
2;"R5,R3,R2,R1";"SMD-0805";4;"1k";;;
3;"R4";"SMD-0805";1;"68k";;;
4;"P4,P3,P2,P1";"MountingHole_3mm";4;"sroub";;;
5;"J25,J24,J19,J18,J27,J26";"Straight_1x01";6;"CONN1_1";;;
6;"J15,J14,J13,J11,J10,J9,J8,J7,J6,J3,J2,J1,J12";"Straight_2x01";13;"JUMP_2x1";;;
7;"D4";"MiniMELF_Standard";1;"BZV55C-3,6V";;;
8;"D2,D1";"SMA_Standard";2;"M4";;;
9;"C12,C11,C14";"SMD-0805";3;"10nF";;;
10;"C10";"SMD-0805";1;"220nF";;;
11;"C9,C8,C7";"SMD-0805";3;"100pF";;;
12;"C6";"TantalC_SizeC_Reflow";1;"22-47uF/20V";;;
13;"C5,C3,C2,C1";"SMD-0805";4;"100nF";;;
14;"C4";"TantalC_SizeB_Reflow";1;"10uF";;;
15;"U1";"POWERSO36";1;"L6470";;;
16;"D3";"SOT-23";1;"BAS70-04";;;
17;"C13";"Elko_vert_11x5mm_RM2_CopperClear";1;"100uF/50V";;;
18;"J23,J22,J21,J20";"WAGO256_2";4;"CONN1_1";;;
19;"R6";"SMD-0805";1;"100";;;
20;"R7";"SMD-0805";1;"10k";;;
21;"C15";"SMD-0805";1;"10uF";;;
