"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"AFF1";"FYS-40011DS-11";1;"FYS-40011DS-11";;;
2;"D3,D4";"LED-10MM";2;"L-813ID";;;
3;"J13,J11,J12,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J37,J38,J39,J40,J41,J42,J43,J44";"Straight_1x01";24;"CONN1_1";;;
4;"C1";"SMD-0805";1;"10uF";;;
5;"C2,C3";"TantalC_SizeC_Reflow";2;"47uF";;;
6;"C4";"SMD-0805";1;"100nF";;;
7;"D1";"MiniMELF_Standard";1;"BZV55C-5,6V";;;
8;"D2";"Diode-SMA_Standard";1;"M4";;;
9;"J1,J27";"Straight_2x04";2;"JUMP_4X2";;;
10;"J5,J6,J7,J8,J9,J28,J29,J30,J31,J36";"Straight_2x01";10;"JUMP_2x1";;;
11;"M1,M3,M5,M6,M7,M8,M9,M10";"MountingHole_3mm";8;"HOLE";;;
12;"R1,R2,R3,R4,R5,R6,R28,R30";"SMD-0805";8;"10k";;;
13;"R7,R8,R9,R10,R11,R12,R13,R14,R25,R26,R27,R29,R31,R32";"SMD-0805";14;"-";;;
14;"U1";"TSSOP28";1;"PCA9635PW";;;
15;"R23";"SMD-0805";1;"0R";;;
16;"R15,R16,R17,R18,R19,R20,R22";"SMD-1206";7;"150R";;;
17;"R21";"SMD-1206";1;"300R";;;
18;"R24";"SMD-1206";1;"0R";;;
19;"REF**,REF**";"0";2;"0";;;
20;"J2,J3";"0";2;"CONN1_1";;;
