"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C17,C9";"TantalC_SizeD_Reflow";2;"10uF/6V3";;;
2;"C14";"TantalC_SizeD_Reflow";1;"2u2F/6V6";;;
3;"C2,C1,C3,C4,C6,C7,C8,C13,C16";"SMD-0805";9;"100nF";;;
4;"C5";"SMD-0805";1;"10nF";;;
5;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
6;"SW1,SW2";"SW_PUSH_SMALL";2;"SW_Push";;;
7;"Y1";"Crystal_HC49-U_Vertical";1;"8MHz";;;
8;"J2,J3";"Straight_1x02";2;"HEADER_2x01";;;
9;"J4,J8";"Straight_2x03";2;"HEADER_2x03_PARALLEL";;;
10;"J6";"Straight_2x05";1;"HEADER_2x05_PARALLEL";;;
11;"J10,J9,J11,J14";"Straight_2x16";4;"HEADER_2x16_PARALLEL";;;
12;"C10,C11";"SMD-0805";2;"20pF";;;
13;"C12,C15";"SMD-0805";2;"4p3F";;;
14;"D2,D3";"Diode-SMA_Standard";2;"M4";;;
15;"F1";"SMD-1206";1;"750mA";;;
16;"R1,R2";"SMD-0805";2;"22";;;
17;"R3";"SMD-0805";1;"1k5";;;
18;"R4,R5,R6,R7,R8,R11,R12";"SMD-0805";7;"10k";;;
19;"U2";"SOT-223";1;"LM1117MPX";;;
20;"R9,R10";"SMD-0805";2;"4k7";;;
21;"J1";"USB_B";1;"USB_B";;;
22;"J12";"Straight_2x02";1;"HEADER_2x02";;;
23;"J13";"Straight_2x01";1;"HEADER_2x01";;;
24;"L1";"SMD-0805";1;"MI0805K400R-10 ";;;
25;"L2";"SMD-0805";1;"10uH";;;
26;"U1";"LQFP64";1;"STM32F303RE";;;
27;"J7";"Straight_2x07";1;"HEADER_2x07";;;
28;"Y2";"Crystal_DS26_d2.0mm_l6.0mm_Horizontal";1;"32k768Hz";;;
29;"J5";"MCSP-Q-08-A-SG";1;"MCSP-Q-08-A-SG-T/R";;;
