"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1,C8,C6,C4,C7,C9,C10,C11";"SMD-0805";8;"10nF";;;
2;"R17,R19,R7,R8,R9,R10,R18,R20";"SMD-0805";8;"33K";;;
3;"U2,U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"TLC27L2ID";;;
4;"R22,R21,R23,R24";"SMD-0805";4;"10K";;;
5;"D4,D2,D3,D5,D6,D7,D8,D9";"MiniMELF_Standard";8;"BAS85";;;
6;"C2,C5,C12";"SMD-0805";3;"100nF";;;
7;"C3";"SMD-0805";1;"10uF";;;
8;"D1";"Diode-MiniMELF_Standard";1;"BZV55C";;;
9;"J2,J4,J6,J8";"Straight_1x02";4;"CONN_2";;;
10;"J10,J11";"Straight_2x01";2;"JUMP2_2x1";;;
11;"J13";"Straight_2x05";1;"JUMP_5X2";;;
12;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
13;"R3,R4,R5,R6,R13,R14,R15,R16";"SMD-0805";8;"180K";;;
14;"U3";"SOIC-14";1;"MCP3424";;;
15;"J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J5,J7,J9";"Straight_1x02";13;"JUMP_2x1";;;
16;"J3";"Straight_2x01";1;"JUMP_2x1";;;
17;"L1";"SMD-0805";1;"BLM21PG300SN1D";;;
18;"R1,R2,R11,R12";"SMD-1206";4;"249R";;;
