"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1,C2,C3,C4,C24,C25,C26,C27,C28,C29,C30";"TantalC_SizeB_Reflow";11;"10u";;;
2;"C5,C6";"SMD-0805";2;"470p";;;
3;"C7,C8,C9,C10";"SMD-0805";4;"180p";;;
4;"C11,C12,C21,C23";"TantalC_SizeC_Reflow";4;"47u";;;
5;"C13,C14,C20,C22,C31,C32,C33";"SMD-0805";7;"100n";;;
6;"C15,C16";"SMD-0805";2;"2n2";;;
7;"C17";"SMD-0805";1;"4U7";;;
8;"C18";"SMD-0805";1;"10n";;;
9;"C19";"SMD-0805";1;"4u7";;;
10;"C34";"TantalC_SizeB_Reflow";1;"10uF";;;
11;"D1";"Diode-SMA_Standard";1;"M4";;;
12;"J1,J2,J5";"Pin_Header_Straight_2x04";3;"JUMP_4X2";;;
13;"J3";"Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
14;"J6";"Pin_Header_Straight_2x05";1;"JUMP2_5X2";;;
15;"L1";"SMD-0805";1;"BLM21PG300SN1D";;;
16;"R1,R2,R3,R4,R9,R10,R24,R25";"SMD-0805";8;"1k";;;
17;"R5,R6,R7,R8,R11,R12,R13,R14";"SMD-0805";8;"47k";;;
18;"R15,R16,R17,R18";"SMD-0805";4;"22R";;;
19;"R19,R20,R21,R22,R23";"SMD-0805";5;"10k";;;
20;"U1,U2";"SO-8";2;"LT6231CS";;;
21;"U4";"SO-8";1;"LE33CD";;;
22;"F1";"FIR1";1;"NFM21PC105";;;
23;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
24;"U3";"SSOP-20_5.3x7.2mm_Pitch0.65mm";1;"WM8786";;;
25;"X1";"ASFL1";1;"ASFL1-24.576MHZ-EK";;;
26;"R26,R27";"SMD-0805";2;"100R";;;
27;"J4";"Pin_Header_Straight_2x01";1;"CONN1_2";;;
28;"G***";"qrcode";1;"LOGO";;;
