"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C2";"TantalC_SizeD_Reflow";1;"470uF/6.3V";;;
2;"C3,C8,C9,C10,C11";"SMD-0805";5;"47pF";;;
3;"C4,C12";"SMD-0805";2;"100nF";;;
4;"C5";"SMD-0805";1;"10nF";;;
5;"C6";"SMD-0805";1;"39pF";;;
6;"C7";"SMD-0805";1;"10pF";;;
7;"D1";"Diode-MiniMELF_Standard";1;"BZV55C-3,6V";;;
8;"D2,D3";"LED_1206";2;"LED";;;
9;"D4";"Diode-SMA_Standard";1;"M4";;;
10;"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34";"Straight_1x02";33;"JUMP_2x1";;;
11;"J13";"SMA6251A13G50";1;"SMA";;;
12;"J35";"SIMCN-8P";1;"SIM";;;
13;"J36,J37";"Straight_1x02";2;"JUMP2_2x1";;;
14;"J38";"Straight_2x03";1;"JUMP_3X2";;;
15;"L1";"SMD-0805";1;"BLM21PG300SN1";;;
16;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
17;"Q1,Q2";"SOT-23";2;"MMBF170LT1G";;;
18;"R1,R3,R4";"SMD-0805";3;"4k7";;;
19;"R2,R9,R10";"SMD-0805";3;"100k";;;
20;"R5,R6";"SMD-0805";2;"1k";;;
21;"R7,R8";"SMD-0805";2;"330k";;;
22;"SW1,SW2";"SW_PUSH_SMALL";2;"SW_PUSH";;;
23;"U1";"LEON-G1";1;"LEON100";;;
24;"C1";"C_Radial_D8_L11.5_P3.5";1;"1F";;;
