"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J1,J6";"Straight_2x03";2;"JUMP_3X2";;;
2;"J2,J3,J4,J5,J7,J8,J9,J10,J11,J12,J13,J14";"Straight_2x01";12;"JUMP_2x1";;;
3;"J15";"Straight_1x03";1;"CONN_3";;;
4;"J16";"Straight_2x05";1;"JUMP_5X2";;;
5;"P4,P3,P2,P1";"MountingHole_3mm";4;"sroub";;;
6;"U1";"SO-8";1;"LE33CD";;;
7;"R4,R3,R1";"SMD-0805";3;"10K";;;
8;"R2";"SMD-0805";1;"1K";;;
9;"D2";"MiniMELF_Standard";1;"BZV55C-3,6V";;;
10;"D1";"SMA_Standard";1;"M4";;;
11;"C3,C1";"SMD-0805";2;"100nF";;;
12;"C2";"TantalC_SizeB_Reflow";1;"10uF";;;
13;"U2";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"SC18IM700";;;
