"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"G***";"LOGO";1;"LOGO";;;
2;"J1,J9";"Hrebinky:Pin_Header_Straight_2x04";2;"JUMP_4X2";;;
3;"J4,J5,J6";"Hrebinky:Pin_Header_Straight_1x02";3;"JUMP2_2x1";;;
4;"P1,P2,P3,P4";"Dira:MountingHole_3mm";4;"_";;;
5;"L1";"MLAB_L:DE1205-10";1;"22uH";;;
6;"J3,J7,J2,J8";"MLAB_CON:WAGO256";4;"CONN1_1";;;
7;"C1";"MLAB_C:TantalC_SizeC_Reflow";1;"47uF";;;
8;"C2";"MLAB_R:SMD-0805";1;"100nF";;;
9;"C3";"MLAB_R:SMD-0805";1;"1nF";;;
10;"C4";"MLAB_R:SMD-0805";1;"100pF";;;
11;"C5";"MLAB_R:SMD-0805";1;"470pF";;;
12;"C6,C7";"MLAB_C:TantalC_SizeD_Reflow";2;"100uF";;;
13;"D1";"MLAB_D:Diode-SMA_Standard";1;"M4";;;
14;"D2";"MLAB_D:Diode-SMA_Standard";1;"15MQ040N";;;
15;"Q1";"MLAB_IO:SO-8";1;"IRF7416";;;
16;"R1";"MLAB_R:SMD-0805";1;"22k";;;
17;"R2,R5";"MLAB_R:SMD-0805";2;"20k";;;
18;"R3";"MLAB_R:SMD-0805";1;"33k";;;
19;"R4";"MLAB_R:SMD-0805";1;"R";;;
20;"U1";"MLAB_IO:MSOP-8_3x3mm_Pitch0.65mm";1;"LM3485";;;
