Class,SubclassID,Subclass,Offset,Name,DataType,MinValue,MaxValue,DefaultValue,Units
Configuration,2,Safety,0,OT Chg,I2,0,1200,550,0.1gradC
Configuration,2,Safety,2,OT Chg Time,U1,0,60,2,s
Configuration,2,Safety,3,OT Chg Recovery,I2,0,1200,500,0.1gradC
Configuration,2,Safety,5,OT Dsg,I2,0,1200,600,0.1gradC
Configuration,2,Safety,7,OT Dsg Time,U1,0,60,2,s
Configuration,2,Safety,8,OT Dsg Recovery,I2,0,1200,550,0.1gradC
Configuration,32,Charge Inhibit Cfg,0,Chg Inhibit Temp Low,I2,-400,1200,0,0.1gradC
Configuration,32,Charge Inhibit Cfg,2,Chg Inhibit Temp High,I2,-400,1200,450,0.1gradC
Configuration,32,Charge Inhibit Cfg,4,Temp Hys,I2,0,100,50,0.1gradC
Configuration,34,Charge,0,Suspend Low Temp,I2,-400,1200,-50,0.1gradC
Configuration,34,Charge,2,Suspend High Temp,I2,-400,1200,550,0.1gradC
Configuration,36,Charge Termination,0,Taper Current,I2,0,1000,100,mA
Configuration,36,Charge Termination,2,Min Taper Capacity,I2,0,1000,25,0.01 mAh
Configuration,36,Charge Termination,4,Cell Taper Voltage,I2,0,1000,100,mV
Configuration,36,Charge Termination,6,Current Taper Window,U1,0,60,40,s
Configuration,36,Charge Termination,7,TCA Set %,I1,-1,100,99,%
Configuration,36,Charge Termination,8,TCA Clear %,I1,-1,100,95,%
Configuration,36,Charge Termination,9,FC Set %,I1,-1,100,100,%
Configuration,36,Charge Termination,10,FC Clear %,I1,-1,100,98,%
Configuration,36,Charge Termination,11,DODatEOC Delta T,I2,0,1000,100,0.1gradC
Configuration,48,Data,0,Rem Cap Alarm,I2,0,700,100,mAh
Configuration,48,Data,8,Initial Standby,I1,-256,0,-10,mA
Configuration,48,Data,9,Initial MaxLoad,I2,-32767,0,-500,mA
Configuration,48,Data,13,Manufacture Date,U2,0,65535,0,Date code
Configuration,48,Data,15,Serial Number,H2,0000,ffff,1,num
Configuration,48,Data,17,Cycle Count,U2,0,65535,0,Count
Configuration,48,Data,19,CC Threshold,I2,100,32767,900,mAh
Configuration,48,Data,21,Design Capacity,I2,0,32767,1000,mAh
Configuration,48,Data,23,Design Energy,I2,0,32767,5400,mWh/cWh
Configuration,48,Data,25,SOH Load Current,I2,-32767,0,-400,mA
Configuration,48,Data,27,TDD SOH Percent,I1,0,100,90,%
Configuration,48,Data,28,Cell Charge Voltage T1-T2,U2,0,4600,4200,mV
Configuration,48,Data,30,Cell Charge Voltage T2-T3,U2,0,4600,4200,mV
Configuration,48,Data,32,Cell Charge Voltage T3-T4,U2,0,4600,4100,mV
Configuration,48,Data,34,Charge Current T1-T2,U1,0,100,10,% of des cap
Configuration,48,Data,35,Charge Current T2-T3,U1,0,100,50,% of des cap
Configuration,48,Data,36,Charge Current T3-T4,U1,0,100,30,% of des cap
Configuration,48,Data,37,JEITA T1,I1,-128,127,0,gradC
Configuration,48,Data,38,JEITA T2,I1,-128,127,10,gradC
Configuration,48,Data,39,JEITA T3,I1,-128,127,45,gradC
Configuration,48,Data,40,JEITA T4,I1,-128,127,55,gradC
Configuration,48,Data,41,ISD Current,I2,0,32767,10,HourRate
Configuration,48,Data,43,ISD Current Filter,U1,0,255,127,-
Configuration,48,Data,44,Min ISD Time,U1,0,255,7,Hour
Configuration,48,Data,45,Design Energy Scale,U1,1,10,1,1 or 10 only
Configuration,48,Data,46,Device Name,S9,x,x,bq34z100,-
Configuration,48,Data,55,Manufacturer Name,S12,x,x,Texas Inst.,-
Configuration,48,Data,67,Device Chemistry,S5,x,x,LION,-
Configuration,49,Discharge,0,SOC1 Set Threshold,U2,0,65535,150,mAh
Configuration,49,Discharge,2,SOC1 Clear Threshold,U2,0,65535,175,mAh
Configuration,49,Discharge,4,SOCF Set Threshold,U2,0,65535,75,mAh
Configuration,49,Discharge,6,SOCF Clear Threshold,U2,0,65535,100,mAh
Configuration,49,Discharge,9,Cell BL Set Volt Threshold,I2,0,5000,2800,mV
Configuration,49,Discharge,11,Cell BL Set Volt Time,U1,0,60,2,s
Configuration,49,Discharge,12,Cell BL Clear Volt Threshold,I2,0,5000,2900,mV
Configuration,49,Discharge,14,Cell BH Set Volt Threshold,I2,0,5000,4300,mV
Configuration,49,Discharge,16,Cell BH Set Volt Time,U1,0,60,2,s
Configuration,49,Discharge,17,Cell BH Clear Volt Threshold,I2,0,5000,4200,mV
Configuration,56,Manufacturer Data,0,Pack Lot Code,H2,0,0xFFFF,0000,-
Configuration,56,Manufacturer Data,2,PCB Lot Code,H2,0,0xFFFF,0000,-
Configuration,56,Manufacturer Data,4,Firmware Version,H2,0,0xFFFF,0000,-
Configuration,56,Manufacturer Data,6,Hardware Revision,H2,0,0xFFFF,0,-
Configuration,56,Manufacturer Data,8,Cell Revision,H2,0,0xFFFF,0,-
Configuration,56,Manufacturer Data,10,DF Config Version,H2,0,0xFFFF,0,-
