"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT1";"2LION";1;"2x18650_LION-RESCUE-LION2CELL01C";;;
2;"C1,C4,C6,C7,C8,C9,C12,C13,C15,C16,C18,C19";"SMD-0805";12;"100nF";;;
3;"C2";"TantalC_SizeC_Reflow";1;"47uF";;;
4;"C3,C11";"SMD-0805";2;"10uF";;;
5;"C5";"SMD-0805";1;"330nF";;;
6;"C14";"SMD-0805";1;"1uF";;;
7;"C17";"SMD-0805";1;"3n3";;;
8;"D1,D2";"SMA_Standard";2;"M4";;;
9;"J1,J7,J13";"Straight_2x04";3;"JUMP_4X2";;;
10;"J2,J3,J5,J6,J10,J11,J12,J14";"Straight_1x02";8;"JUMP_2x1";;;
11;"J4";"Straight_1x02";1;"JUMP2_2x1";;;
12;"J8,J9";"WAGO256";2;"CONN1_1";;;
13;"L1";"DE1205-10";1;"DE1205-10";;;
14;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
15;"Q1";"SOT-23";1;"IRLML6244";;;
16;"R1";"SMD-0805";1;"160R";;;
17;"R2";"SMD-0805";1;"260R";;;
18;"R3,R9,R18,R19";"SMD-0805";4;"100R";;;
19;"R4";"SMD-0805";1;"10k";;;
20;"R5";"SMD-0805";1;"10K";;;
21;"R6,R7,R8,R27,R28,R29,R30,R31,R32,R33,R34";"SMD-0805";11;"2K2";;;
22;"R10,R20";"SMD-0805";2;"1K";;;
23;"R11,R12";"SMD-0805";2;"7K5";;;
24;"R13";"SMD-0805";1;"9K31";;;
25;"R14";"SMD-0805";1;"442K";;;
26;"R15";"SMD-0805";1;"NCP21XV103J03RA";;;
27;"R16";"R_2512";1;"0R1";;;
28;"R17";"SMD-0805";1;"10K NTC";;;
29;"R21,R25";"SMD-0805";2;"270k";;;
30;"R23";"SMD-0805";1;"16k5 25ppm";;;
31;"R24";"SMD-0805";1;"140k .1% 25ppm";;;
32;"R26";"SMD-0805";1;"165k";;;
33;"U4";"SO-14";1;"SN74HC164D";;;
34;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
35;"U3";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"BQ34Z100";;;
36;"U1";"VSON-8";1;"BQ29209";;;
37;"C10";"TantalC_SizeD_Reflow";1;"100uF";;;
38;"U2";"VQFN-20";1;"BQ24103";;;
39;"F1";"Drzak_2410";1;"5A";;;
40;"F3";"Drzak_2410";1;"2A";;;
41;"D7,D8,D9,D10,D11,D12,D13,D14";"LED_1206";8;"ORAGE";;;
42;"D3,D4";"LED_1206";2;"Green";;;
43;"D5";"LED_1206";1;"Red";;;
44;"J15";"SMD_1_2x2";1;"CONN_2";;;
45;"C20";"TantalC_SizeC_Reflow";1;"10uF";;;
46;"U5";"SO-8";1;"TPS76601";;;
47;"R35,R36";"SMD-0805";2;"47k";;;
48;"U6";"SOT-23";1;"APX810-31SAG-7";;;
49;"R22";"SMD-2512";1;"0R01 75PPM";;;
