"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C3,C5,C7,C9";"SMD-0805";4;"100nF";;;
2;"C4";"C2pF";1;"2";;;
3;"C1";"SMD-0805";1;"4M7";;;
4;"C2";"SMD-0805";1;"12p";;;
5;"C6,C10";"SMD-0805";2;"10uF";;;
6;"C8,C14";"SMD-0805";2;"330k";;;
7;"C11";"SMD-0805";1;"510";;;
8;"C12";"SMD-0805";1;"620";;;
9;"C13";"SMD-0805";1;"100";;;
10;"J1";"Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
11;"J2";"Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
12;"J4";"Pin_Header_Straight_1x02";1;"CONN1_2";;;
13;"J5";"Pin_Header_Straight_2x03";1;"Out";;;
14;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
15;"R1,R2,R10";"SMD-0805";3;"4k7";;;
16;"R5";"SMD-0805";1;"3k3";;;
17;"R6,R11";"SMD-0805";2;"10k";;;
18;"R7";"SMD-0805";1;"1k5";;;
19;"R8";"SMD-0805";1;"2k4";;;
20;"R9";"SMD-0805";1;"2k2";;;
21;"Q1";"SOT-23";1;"BF862";;;
22;"J3";"CONN_3_2";1;"CONN1_2";;;
23;"U2";"SOIC-8-N";1;"AD8692";;;
24;"U1";"SOT-23-6";1;"MAX4475";;;
25;"R3,R4";"SMD-0805";2;"2M";;;
