"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U1";"MSOP-8_3x3mm_Pitch0.65mm";1;"MCP6002";;;
2;"C1,C2";"C_0805";2;"100nF";;;
3;"D1";"Diode-SMA_Standard";1;"D_Schottky";;;
4;"J1";"Straight_2x03";1;"HEADER_2x03_PARALLEL";;;
5;"J2";"Straight_1x02";1;"INTENSITY";;;
6;"J3";"Straight_1x02";1;"INT_OUT";;;
7;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
8;"P1";"SMA6251A13G50";1;"SMA";;;
9;"R1";"R_0805";1;"10k";;;
10;"R2,R4,R5,R6";"R_0805";4;"10M";;;
11;"R3";"R_0805";1;"1M";;;
