"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1";"SMD-0805";1;"1uF";;;
2;"C2,C3";"TantalC_SizeC_Reflow";2;"4,7uF";;;
3;"D1";"Diode-MiniMELF_Standard";1;"TMMBAT48";;;
4;"J1,J2";"Straight_1x02";2;"JUMP_2x1";;;
5;"J3,J4,J6,J7";"WAGO256";4;"WAGO256";;;
6;"J5";"Straight_2x04";1;"JUMP_4X2";;;
7;"L1";"DE1205-10";1;"DE1207-22 (22uH)";;;
8;"P1,P2,P3,P4";"MountingHole_3mm";4;"M3";;;
9;"R1";"SMD-0805";1;"0,565";;;
10;"R2";"SMD-0805";1;"47k";;;
11;"U1";"MSOP-8-1EP_3x3mm_Pitch0.65mm";1;"LM3407";;;
