"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J2";"Straight_1x02";1;"JUMP_2x1";;;
2;"J1";"Straight_1x02";1;"CONN1_2";;;
3;"C1";"SMD-0805";1;"1uF";;;
4;"D1";"Diode-MiniMELF_Standard";1;"TMMBAT48";;;
5;"J3,J4,J6,J7";"WAGO256";4;"WAGO256";;;
6;"J5";"Straight_2x04";1;"JUMP_4X2";;;
7;"L1";"DE1205-10";1;"DE1207-22 (22uH)";;;
8;"P1,P2,P3,P4";"MountingHole_3mm";4;"M3";;;
9;"R1";"SMD-0805";1;"0,565";;;
10;"R2";"SMD-0805";1;"47k";;;
11;"U1";"MSOP-8-1EP_3x3mm_Pitch0.65mm";1;"LM3407";;;
12;"J8,J9";"Straight_1x01";2;"CONN1_1";;;
13;"C2,C3";"SMD-1206";2;"4,7uF/50V";;;
