"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J1,J9";"Pin_Header_Straight_2x04";2;"JUMP_4X2";;;
2;"J4,J5,J6";"Pin_Header_Straight_1x02";3;"JUMP2_2x1";;;
3;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
4;"L1";"DE1205-10";1;"22uH DE1207-22";;;
5;"J3,J2";"WAGO256";2;"CONN1_1";;;
6;"J7";"WAGO256";1;"Vout+";;;
7;"J8";"WAGO256";1;"Vout-";;;
8;"C1";"TantalC_SizeC_Reflow";1;"47uF";;;
9;"C2";"SMD-0805";1;"100nF";;;
10;"C3";"SMD-0805";1;"1nF";;;
11;"C4";"SMD-0805";1;"100pF";;;
12;"C5";"SMD-0805";1;"470pF";;;
13;"C6,C7";"TantalC_SizeD_Reflow";2;"100uF";;;
14;"D1";"Diode-SMA_Standard";1;"M4";;;
15;"D2";"Diode-SMA_Standard";1;"15MQ040N";;;
16;"Q1";"SO-8";1;"IRF7416";;;
17;"R1";"SMD-0805";1;"22k";;;
18;"R2";"SMD-0805";1;"20k";;;
19;"R4";"SMD-0805";1;"11k";;;
20;"R5";"SMD-0805";1;"-";;;
21;"U1";"MSOP-8_3x3mm_Pitch0.65mm";1;"LM3485";;;
22;"G***";"QR_code";1;"LOGO";;;
23;"R3";"R_0805";1;"33k";;;
