"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT1";"2LION";1;"2x18650_LION";;;
2;"C1,C4,C5,C6,C7,C8,C9,C12,C13,C15,C16,C18";"SMD-0805";12;"100nF";;;
3;"C2";"TantalC_SizeC_Reflow";1;"47uF";;;
4;"C3,C11";"SMD-0805";2;"10uF";;;
5;"C14";"SMD-0805";1;"1uF";;;
6;"C17";"SMD-0805";1;"3n3";;;
7;"D1,D2";"SMA_Standard";2;"M4";;;
8;"D3,D4,D5";"LED_1206";3;"LED";;;
9;"D6";"MiniMELF_Standard";1;"BZV55C-5,6V";;;
10;"D7,D8,D9,D10,D11,D12,D13,D14";"LED_1206";8;"ORAGE";;;
11;"F1";"2410";1;"FUSE";;;
12;"J1,J7,J13";"Straight_2x04";3;"JUMP_4X2";;;
13;"J2,J3,J4,J5,J6,J10,J11,J12,J14";"Straight_1x02";9;"JUMP_2x1";;;
14;"J8,J9";"WAGO256";2;"CONN1_1";;;
15;"L1";"DE1205-10";1;"DE1205-10";;;
16;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
17;"Q1";"SOT-23";1;"IRLML6244";;;
18;"Q2,Q3";"SOT-23";2;"MMBF170LT1G";;;
19;"Q4";"SOT-23";1;"BSS83P";;;
20;"R1,R2,R10,R20,R27,R28,R29,R30,R31,R32,R33,R34";"SMD-0805";12;"1K";;;
21;"R3";"SMD-0805";1;"240R";;;
22;"R4";"SMD-0805";1;"0R";;;
23;"R5,R21";"SMD-0805";2;"10K";;;
24;"R6,R7,R8";"SMD-0805";3;"2K2";;;
25;"R9,R18,R19";"SMD-0805";3;"100R";;;
26;"R11,R12";"SMD-0805";2;"7K5";;;
27;"R13";"SMD-0805";1;"9K31";;;
28;"R14";"SMD-0805";1;"442K";;;
29;"R15";"SMD-0805";1;"NCP21XV103J03RA";;;
30;"R16";"R_2512";1;"0R1";;;
31;"R17";"SMD-0805";1;"10K NTC";;;
32;"R22";"SMD-1206";1;"0R01 75PPM";;;
33;"R23";"SMD-0805";1;"16k5 25ppm";;;
34;"R24";"SMD-0805";1;"divider.1% 25ppm";;;
35;"R25";"SMD-0805";1;"165K";;;
36;"R26";"SMD-0805";1;"100K";;;
37;"U4";"SO-14";1;"SN74HC164D";;;
38;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
39;"U3";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"BQ34Z100";;;
40;"U1";"VSON-8";1;"BQ29209";;;
41;"C10";"TantalC_SizeD_Reflow";1;"100uF";;;
42;"U2";"VQFN-20";1;"BQ24103";;;
