"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT1";"2LION";1;"2x18650_LION-RESCUE-LION2CELL01C";;;
2;"C1,C4,C6,C7,C8,C9,C12,C13,C15,C16,C18";"SMD-0805";11;"100nF";;;
3;"C2";"TantalC_SizeC_Reflow";1;"47uF";;;
4;"C3,C11";"SMD-0805";2;"10uF";;;
5;"C5";"SMD-0805";1;"330nF";;;
6;"C14";"SMD-0805";1;"1uF";;;
7;"C17";"SMD-0805";1;"3n3";;;
8;"D1,D2";"SMA_Standard";2;"M4";;;
9;"D6";"MiniMELF_Standard";1;"BZV55C-5,6V";;;
10;"J1,J7,J13";"Straight_2x04";3;"JUMP_4X2";;;
11;"J2,J3,J4,J5,J6,J10,J11,J12,J14";"Straight_1x02";9;"JUMP_2x1";;;
12;"J8,J9";"WAGO256";2;"CONN1_1";;;
13;"L1";"DE1205-10";1;"DE1205-10";;;
14;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
15;"Q1";"SOT-23";1;"IRLML6244";;;
16;"Q2,Q3";"SOT-23";2;"MMBF170LT1G";;;
17;"Q4";"SOT-23";1;"BSS83P";;;
18;"R1";"SMD-0805";1;"160R";;;
19;"R2";"SMD-0805";1;"260R";;;
20;"R3,R9,R18,R19";"SMD-0805";4;"100R";;;
21;"R4";"SMD-0805";1;"0R";;;
22;"R5,R21";"SMD-0805";2;"10K";;;
23;"R6,R7,R8,R27,R28,R29,R30,R31,R32,R33,R34";"SMD-0805";11;"2K2";;;
24;"R10,R20";"SMD-0805";2;"1K";;;
25;"R11,R12";"SMD-0805";2;"7K5";;;
26;"R13";"SMD-0805";1;"9K31";;;
27;"R14";"SMD-0805";1;"442K";;;
28;"R15";"SMD-0805";1;"NCP21XV103J03RA";;;
29;"R16";"R_2512";1;"0R1";;;
30;"R17";"SMD-0805";1;"10K NTC";;;
31;"R22";"SMD-1206";1;"0R01 75PPM";;;
32;"R23";"SMD-0805";1;"16k5 25ppm";;;
33;"R24";"SMD-0805";1;"140k .1% 25ppm";;;
34;"R25";"SMD-0805";1;"165K";;;
35;"R26";"SMD-0805";1;"100K";;;
36;"U4";"SO-14";1;"SN74HC164D";;;
37;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
38;"U3";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"BQ34Z100";;;
39;"U1";"VSON-8";1;"BQ29209";;;
40;"C10";"TantalC_SizeD_Reflow";1;"100uF";;;
41;"U2";"VQFN-20";1;"BQ24103";;;
42;"F1";"Drzak_2410";1;"5A";;;
43;"F3";"Drzak_2410";1;"2A";;;
44;"D7,D8,D9,D10,D11,D12,D13,D14";"LED_1206";8;"ORAGE";;;
45;"D3,D4,D5";"LED_1206";3;"LED";;;
46;"J15";"SMD_1_2x2";1;"CONN_2";;;
