"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"D1";"SMA_Standard";1;"M4";;;
2;"J13,J12";"WAGO256";2;"CONN1_1";;;
3;"L1,L2";"DER0705";2;"DER0705-3.3uH";;;
4;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
5;"U1";"DFN-12-1EP_3x4mm_Pitch0.5mm";1;"LTC3625";;;
6;"C1";"SMD-0805";1;"10uF";;;
7;"R1";"SMD-0805";1;"200k";;;
8;"R2,R3";"SMD-0805";2;"75k";;;
9;"R4";"SMD-0805";1;"-";;;
10;"J9,J10";"Straight_2x01";2;"JUMP_2x1";;;
11;"J6,J2,J3,J4,J5,J7,J8";"Straight_1x01";7;"CONN1_1";;;
12;"J1,J11";"Straight_2x03";2;"JUMP_3X2";;;
13;"C2,C3";"C_Radial_D16_L25_P7.5";2;"22F";;;
