"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"SMD-0805";1;"1uF";;;
2;"J1,J2";"Straight_1x03";2;"JUMP1X3";;;
3;"C7";"SMD-0805";1;"2,2uF";;;
4;"C5,C3";"SMD-0805";2;"470pF";;;
5;"C4,C2";"SMD-0805";2;"1nF";;;
6;"C1,C10";"TantalC_SizeC_Reflow";2;"47uF";;;
7;"C8";"TantalC_SizeD_Reflow";1;"470uF";;;
8;"T1,T2";"Step-Up_TRANSF";2;"Step-Up_TRANSFO";;;
9;"U2";"SSOP-20";1;"LTC3109GN";;;
10;"J3,J4";"Straight_1x02";2;"JUMP1X2";;;
11;"J5,J6";"Straight_2x03";2;"JUMP2X3";;;
12;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
13;"P1,P2,P3,P4";"WAGO256";4;"WAGO256";;;
