"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100nF";"C0805";"C0805";"";"";"";"";"";
"C2";"10uF";"C0805";"C0805";"";"";"";"";"";
"C3";"47u";"C";"C";"";"";"";"";"";
"C5";"10p";"C0805";"C0805";"";"";"";"";"";
"C6";"47u";"C";"C";"";"";"";"";"";
"C16";"10uF";"C0805";"C0805";"";"";"";"";"";
"C20";"47uF";"C";"C";"";"";"";"";"";
"D1";"M4";"D-OB.SMA";"SMA";"SMA";"";"";"";"";
"L1";"DE1207-1";"DE1205-10";"DE1205-10";"tlumivka";"";"";"";"";
"P1";"1,1A";"POJISTKA_1812";"1812";"Pojistka s pouzdrem 1812";"";"";"";"";
"R2";"100k";"R0805";"0805";"";"";"";"";"";
"R3";"1M";"R0805";"0805";"";"";"";"";"";
"R4";"560k";"R0805";"0805";"";"";"";"";"";
"R5";"900k";"R0805";"0805";"";"";"";"";"";
"SV1";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV4";"";"MA02-3";"MA02-2";"";"";"";"";"";
"SV5";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV6";"MA02-1";"MA02-1";"MA02-1";"";"";"";"";"";
"SV7";"MA02-1";"MA02-1";"MA02-1";"";"";"";"";"";
"X1";"SROUB3M";"SROUB3M";"SROUB3M";"";"";"";"";"";
"X2";"SROUB3M";"SROUB3M";"SROUB3M";"";"";"";"";"";
"X3";"SROUB3M";"SROUB3M";"SROUB3M";"";"";"";"";"";
"X4";"SROUB3M";"SROUB3M";"SROUB3M";"";"";"";"";"";
"X5";"TPS63060";"TPS63060";"SON10";"SON10 - mìniè TPS63060";"";"";"";"";
"X9";"APX809";"APX809-26SA";"SOT23";"";"";"";"";"";
