"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"M1,M2,M3,M4,M5,M8";"MountingHole_3mm";6;"HOLE";;;
2;"J8";"Straight_2x04";1;"JUMP_4X2";;;
3;"CON1";"DC2,1MM";1;"JACK_DC2.1";;;
4;"FI1";"FIR1";1;"NFM21PC105";;;
5;"J1,J2,J4,J5";"Straight_1x02";4;"CONN1_2";;;
6;"J6,J7,J12,J13";"Straight_1x01";4;"CONN1_1";;;
7;"R1,R2,R3,R4";"SMD-0805";4;"2k2";;;
8;"SW1";"Prepinaci_3A_SL19121";1;"SL19121";;;
9;"D1,D2";"LED_1206";2;"RED";;;
10;"D3";"LED_1206";1;"GREEN";;;
11;"D4";"Diode-SMA_Standard";1;"D";;;
12;"D5";"LED_1206";1;"ORANGE";;;
13;"J3,J9,J10,J11";"Straight_1x02";4;"JUMP_2x1";;;
14;"F1";"Drzak_2410";1;"1,1A";;;
