"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U1";"SOP-8_EP_3.9x4.9mm_Pitch1.27mm";1;"PAM2423";;;
2;"R6";"SMD-0805";1;"-";;;
3;"R5";"SMD-0805";1;"28k7";;;
4;"R4,R2";"SMD-0805";2;"10k";;;
5;"R3";"SMD-0805";1;"84k5";;;
6;"R1";"SMD-0805";1;"51k";;;
7;"P4,P3,P2,P1";"WAGO256";4;"WAGO256";;;
8;"M4,M3,M2,M1";"MountingHole_3mm";4;"HOLE";;;
9;"L1";"DE1205-10";1;"DE1207-10, EPCOS  B82477G4682M";;;
10;"J12,J11,J10,J9,J8,J7,J3,J2,J1";"Straight_1x02";9;"JUMP_2x1";;;
11;"J6,J5,J4";"Straight_1x02";3;"JUMP2_2x1";;;
12;"D3,D2";"Diode-SMB_Standard";2;"STPS340U";;;
13;"D1";"Diode-SMA_Standard";1;"M4";;;
14;"C15";"SMD-0805";1;"470pF";;;
15;"C14,C9,C3";"SMD-0805";3;"10uF/25V";;;
16;"C13";"SMD-0805";1;"100pF";;;
17;"C12";"SMD-0805";1;"10nF";;;
18;"C11";"SMD-0805";1;"47pF";;;
19;"C10";"SMD-0805";1;"2.2nF";;;
20;"C2,C6";"SMD-0805";2;"100nF";;;
21;"C1";"TantalC_SizeD_Reflow";1;"470uF/6V";;;
22;"C5,C7";"TantalC_SizeD_Reflow";2;"220uF";;;
23;"L2";"SMD-0805";1;"BLM21PG300SN1";;;
24;"C21";"C_Radial_D10_L13_P5";1;"470uF/35V";;;
25;"R7";"SMD-0805";1;"499R";;;
