"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"R7";"SMD-0805";1;"2M";;;
2;"C1,C2";"SMD-0805";2;"100nF";;;
3;"C3,C4,C9,C10,C11";"SMD-0805";5;"100n";;;
4;"C13,C17";"SMD-0805";2;"330nF";;;
5;"C14";"SMD-0805";1;"510pF";;;
6;"C15";"SMD-0805";1;"220pF";;;
7;"C16";"SMD-0805";1;"150pF";;;
8;"J2";"Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
9;"J3";"Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
10;"J4";"Pin_Header_Straight_2x03";1;"Out";;;
11;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
12;"Q1";"SOT-23";1;"BF862";;;
13;"R1,R2";"SMD-0805";2;"4M7";;;
14;"R3,R4,R5,R6";"SMD-0805";4;"R";;;
15;"R8";"SMD-0805";1;"3k3";;;
16;"R9,R15";"SMD-0805";2;"10k";;;
17;"R10";"SMD-0805";1;"1k5";;;
18;"R11";"SMD-0805";1;"6k2";;;
19;"R12,R13,R14";"SMD-0805";3;"2k4";;;
20;"U1";"tsot-5";1;"AD8691";;;
21;"J1";"CONN_3_2";1;"CONN1_2";;;
22;"U2";"SOIC-8-N";1;"AD8692";;;
23;"C5,C8";"2pF_PCB";2;"2pF";;;
