"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C1,C2";"C_0805";2;"100nF";;;
2;"D1";"SMA_Standard";1;"D_Schottky";;;
3;"J1";"Straight_2x03";1;"HEADER_2x03_PARALLEL";;;
4;"J2";"Straight_2x01";1;"INTENSITY";;;
5;"J3";"Straight_2x01";1;"RESET";;;
6;"J4";"Straight_2x01";1;"INT_OUT";;;
7;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
8;"P1";"SMA6251A13G50";1;"SMA";;;
9;"Q1";"SOT-23";1;"2N7002";;;
10;"R1";"SMD-0805";1;"10k";;;
11;"R2,R3";"SMD-0805";2;"10M";;;
12;"R4";"SMD-0805";1;"1M";;;
13;"U1";"MSOP-8_3x3mm_Pitch0.65mm";1;"MCP6002";;;
