"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U1";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"AS5048B";;;
2;"C1";"SMD-0805";1;"10uF";;;
3;"C2";"SMD-0805";1;"100nF";;;
4;"J1";"Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
5;"J2";"Pin_Header_Straight_2x01";1;"JUMP_2x1";;;
6;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
7;"R1,R3,R5";"SMD-0805";3;"0R";;;
8;"R2,R4";"SMD-0805";2;"-";;;
9;"R6,R7";"SMD-0805";2;"10k";;;
10;"J3";"SMD_JUMP1X5";1;"JUMP_5X2";;;
11;"C3";"TantalC_SizeB_Reflow";1;"10uF";;;
12;"D1";"SMA_Standard";1;"M4";;;
