"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J2";"RJHSE-5384(RJ45)";1;"RJ45_RJHSE-5384";;;
2;"J1";"Straight_2x04";1;"JUMP_4X2";;;
3;"C1";"SMD-0805";1;"10uF/16V";;;
4;"C2,C3,C4";"SMD-0805";3;"10uF";;;
5;"C6,C5";"SMD-0805";2;"100nF";;;
6;"J4,J5,J6,J7,J8,J9";"Straight_2x01";6;"JUMP_2x1";;;
7;"J10,J13";"Straight_2x03";2;"JUMP_3X2";;;
8;"J11,J14,J17";"Straight_2x01";3;"JUMP2_2x1";;;
9;"J12,J15";"Straight_1x03";2;"CONN_3";;;
10;"J19,J20,J21,J22,J23,J3";"Straight_1x02";6;"JUMP_2x1";;;
11;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
12;"R1,R2,R12";"SMD-0805";3;"1k";;;
13;"R3,R5,R6,R8,R9,R11";"SMD-0805";6;"620";;;
14;"R4,R7,R10";"SMD-0805";3;"120";;;
15;"R14,R13";"SMD-0805";2;"4k7";;;
16;"U1";"SOT-223";1;"LM1117 5V";;;
17;"U2";"SOT-223";1;"LM1117 3V3";;;
18;"U3";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"PCA9616";;;
19;"C7";"TantalC_SizeC_Reflow";1;"47uF";;;
20;"D2,D3";"SOT-553";2;"SP1001-04XTG";;;
21;"C8";"SMD-0805";1;"100nF";;;
22;"R15";"SMD-0805";1;"1k";;;
23;"J18,J16";"Straight_1x01";2;"CONN1_1";;;
24;"D1";"Diode-SMB_Standard";1;"SMBJ15A-E3/52";;;
