"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"D1,D2";"SOT-553";2;"SP1001-04XTG";;;
2;"J7";"RJHSE-5384(RJ45)";1;"RJ45_RJHSE-5384";;;
3;"J1";"Straight_2x04";1;"JUMP_4X2";;;
4;"C2";"SMD-0805";1;"100nF";;;
5;"J4,J5,J6,J8,J9,J10,J11,J13,J12";"Straight_2x01";9;"JUMP_2x1";;;
6;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
7;"R1,R2,R3";"SMD-0805";3;"1k";;;
8;"J3";"Straight_1x02";1;"JUMP_2x1";;;
9;"C1";"TantalC_SizeC_Reflow";1;"47uF";;;
10;"D3";"Diode-SMC_Standard";1;"SM15T18A";;;
