JUMP_2X2;Straight_2x02;JUMP_2X2;['J1']
JUMP_2x1;Straight_2x01;JUMP_2x1;['J3']
D_ZENER;Diode-MiniMELF_Standard;ZENER-5.6V;['D1']
JUMP2_2x1;Straight_1x02;JUMP2_2x1;['J6']
CONN_3;Straight_1x03;CONN_3;['J2']
C;C_0805;10pF;['C1', 'C2']
Crystal;Crystal_HC49-U_Vertical;Crystal;['Y1']
R;SMD-0805;10k;['R3', 'R2', 'R1']
PCF8583;SO-8;PCF8583;['U1']
JUMP_3X2;Straight_2x03;JUMP_3X2;['J5']
HOLE;MountingHole_3mm;HOLE;['M1', 'M2', 'M3', 'M4']
C_Small;SMD-0805;100nF;['C4']
C_Small;SMD-0805;10uF;['C3']
JUMP_5X2;Straight_2x05;JUMP_5X2;['J4']
