Drill Listing
=============
Drill: .022  Tool: 1  Feed: 197  Speed: 550
X 174600  Y 138600
X 167800  Y 156400
X 126000  Y 166000
X 134000  Y 166000
X 136000  Y 187000
X 128000  Y 189000
X 157500  Y 196600
X 133600  Y 202800
X 142500  Y 203800
X 154400  Y 208900
X 130200  Y 221200
X 140800  Y 313100
X 165000  Y 327000
X 224400  Y 292600
X 207700  Y 289900
X 218300  Y 279300
X 217000  Y 252000
X 207000  Y 251000
X 217000  Y 198000
X 240000  Y 136000
X 227000  Y 145000
X 251000  Y 167000
X 234000  Y 171000
X 247000  Y 174000
X 252000  Y 188000
X 228100  Y 200700
X 253000  Y 212000
X 263000  Y 212000
X 232500  Y 220200
X 270000  Y 228000
X 251000  Y 231000
X 252800  Y 252300
X 273500  Y 252800
X 228500  Y 274800
X 246000  Y 306000
X 307000  Y 349000
X 311200  Y 327400
X 302600  Y 321600
X 290300  Y 319200
X 296600  Y 307400
X 295500  Y 292200
X 322000  Y 280000
X 282500  Y 274800
X 312000  Y 229000
X 299000  Y 220200
X 307000  Y 220000
X 299000  Y 211000
X 307300  Y 208000
X 321000  Y 207000
X 277000  Y 195000
X 281000  Y 186000
X 319000  Y 174000
X 328800  Y 159000
X 344000  Y 204000
X 335000  Y 241000
X 344600  Y 256700
X 326000  Y 270000
X 329300  Y 296700
X 348700  Y 298700
X 365800  Y 317500
X 354200  Y 344800
X 331000  Y 353000
X 399000  Y 335000

Drill: .028  Tool: 2  Feed: 197  Speed: 550
X 313455  Y 251587
X 333171  Y 251587

Drill: .0315  Tool: 3  Feed: 197  Speed: 550
X 193814  Y 260472
X 233185  Y 260472
X 193814  Y 319527
X 233185  Y 319527

Drill: .035  Tool: 4  Feed: 197  Speed: 550
X 173000  Y 188500
X 173000  Y 198500
X 173000  Y 208500
X 173000  Y 228500
X 173000  Y 253500
X 163000  Y 253500
X 153000  Y 253500
X 143000  Y 253500
X 153000  Y 263500
X 163000  Y 263500
X 143000  Y 263500
X 173000  Y 263500
X 174000  Y 337000
X 174000  Y 347000
X 194000  Y 347000
X 184000  Y 347000
X 194000  Y 337000
X 184000  Y 337000
X 183000  Y 233500
X 192000  Y 228500
X 183000  Y 223500
X 183000  Y 203500
X 183000  Y 193500
X 194500  Y 151500
X 194500  Y 141500
X 214500  Y 141500
X 204500  Y 141500
X 204500  Y 151500
X 214500  Y 151500
X 204000  Y 337000
X 219000  Y 337000
X 229000  Y 337000
X 239000  Y 337000
X 249000  Y 337000
X 229000  Y 347000
X 219000  Y 347000
X 239000  Y 347000
X 204000  Y 347000
X 249000  Y 347000
X 263000  Y 347000
X 273000  Y 347000
X 263000  Y 337000
X 273000  Y 337000
X 261000  Y 268500
X 251000  Y 268500
X 271000  Y 165000
X 261000  Y 165000
X 271000  Y 155000
X 261000  Y 155000
X 271000  Y 145000
X 261000  Y 145000
X 271000  Y 135000
X 261000  Y 135000
X 300500  Y 135000
X 300500  Y 145000
X 300500  Y 155000
X 300500  Y 165000
X 296500  Y 267000
X 296500  Y 277000
X 283000  Y 337000
X 293000  Y 337000
X 293000  Y 347000
X 283000  Y 347000
X 306500  Y 277000
X 349500  Y 269500
X 339500  Y 269500
X 306500  Y 267000
X 303000  Y 188000
X 303000  Y 178000
X 310500  Y 165000
X 310500  Y 155000
X 310500  Y 145000
X 310500  Y 135000
X 415000  Y 160000
X 425000  Y 160000
X 415000  Y 170000
X 425000  Y 170000
X 415000  Y 180000
X 425000  Y 180000
X 415000  Y 190000
X 425000  Y 190000
X 415000  Y 200000
X 425000  Y 200000
X 415000  Y 210000
X 425000  Y 210000
X 415000  Y 220000
X 425000  Y 220000
X 415000  Y 230000
X 425000  Y 230000
X 415000  Y 240000
X 425000  Y 240000
X 415000  Y 250000
X 425000  Y 250000
X 415000  Y 260000
X 425000  Y 260000
X 415000  Y 270000
X 425000  Y 270000
X 415000  Y 280000
X 425000  Y 280000
X 415000  Y 290000
X 425000  Y 290000
X 415000  Y 300000
X 425000  Y 300000
X 415000  Y 310000
X 425000  Y 310000
X 415000  Y 320000
X 425000  Y 320000
X 377000  Y 329500
X 387000  Y 329500
X 387000  Y 339500
X 377000  Y 339500

Drill: .04  Tool: 5  Feed: 139  Speed: 550
X 202000  Y 189500
X 202000  Y 199500
X 202000  Y 222500
X 202000  Y 232500

Drill: .062  Tool: 6  Feed: 89  Speed: 550
X 160000  Y 184500
X 160000  Y 237500

Drill: .10433  Tool: 7  Feed: 69  Speed: 658
X 231500  Y 236500

Drill: .12598  Tool: 8  Feed: 35  Speed: 794
X 140000  Y 140000
X 140000  Y 340000
X 420000  Y 340000
X 420000  Y 140000

Drill: .128  Tool: 9  Feed: 35  Speed: 794
X 148000  Y 188500
X 148000  Y 233500

End of Listing
