"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U2";"TSSOP-8_4.4x3mm_Pitch0.65mm";1;"EEPROM_TSSOP8";;;
2;"U3";"MSOP-8_3x3mm_Pitch0.65mm";1;"EEPROM_MSOP8";;;
3;"M2,M1,M4,M3";"MountingHole_3mm";4;"HOLE";;;
4;"C1,C2,C3";"SMD-0805";3;"100nF";;;
5;"C4";"SMD-0805";1;"10uF";;;
6;"J1,J2,J3,J4,J5,J9";"Straight_2x01";6;"JUMP_2x1";;;
7;"J6,J7,J8";"Straight_2x01";3;"JUMP2_2x1";;;
8;"R1,R2,R3,R4,R5";"SMD-0805";5;"10k";;;
9;"U1";"SO-8";1;"EEPROM_SO8";;;
10;"D1";"Diode-MiniMELF_Standard";1;"BZV55C-5,6V";;;
