"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"D1";"Diode-SMA_Standard";1;"M4";;;
2;"L1";"DE0703";1;"DE0703-47";;;
3;"D2";"D_SOD-523";1;"NSR05T40XV2T5G";;;
4;"J1";"Straight_2x03";1;"HEADER_2x03_PARALLEL";;;
5;"J2,J3";"Straight_2x01";2;"HEADER_2x01_PARALLEL";;;
6;"J4";"Straight_2x04";1;"HEADER_2x04_PARALLEL";;;
7;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
8;"U1";"SOT-23-6_Handsoldering";1;"MAX5026";;;
9;"C1";"SMD-0805";1;"10uF";;;
10;"C2,C4,C5";"SMD-0805";3;"100nF";;;
11;"C3,C6";"SMD-0805";2;"1uF/50V";;;
12;"R1";"SMD-0805";1;"10k";;;
13;"R2";"SMD-0805";1;"140k";;;
14;"R3";"SMD-0805";1;"6k49";;;
15;"R4";"SMD-0805";1;"100R";;;
