C;SMD-0805;10uF;['C1\r']
D_Schottky;Diode-SMA_Standard;15MQ040N;['D2\r', 'D3\r']
LTC3625;DFN-12-1EP_3x4mm_Pitch0.5mm;LTC3625;['U1\r']
DIODE;SMA_Standard;M4;['D1\r']
JUMP_2x1;Straight_2x01;JUMP_2x1;['J9\r', 'J10\r', 'J14\r']
CONN1_1;Straight_1x01;CONN1_1;['J7\r', 'J8\r', 'J6\r', 'J5\r']
CONN1_1;WAGO256;CONN1_1;['J12\r', 'J13\r']
R;SMD-0805;75k;['R2\r', 'R3\r']
R;SMD-0805;200k;['R1\r']
R;SMD-0805;10k;['R5\r', 'R6\r']
R;SMD-1206;0R;['R7\r']
INDUCTOR_SMALL;DJNR5040;DJNR5040-3R3-S;['L1\r', 'L2\r']
JUMP_3X2;Straight_2x03;JUMP_3X2;['J1\r', 'J11\r']
HOLE;MountingHole_3mm;HOLE;['M1\r', 'M3\r', 'M2\r', 'M4\r']
CP;TantalC_SizeC_Reflow;47uF;['C4\r']
CP;C_Radial_D16_L25_P7.5;22F;['C3\r', 'C2\r']
