"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"U1";"PowerSSO-16";1;"VNQ7050AJ";;;
2;"J3,J4,J5,J6,J7,J8,J9,J10,J11,J20";"Straight_2x01";10;"JUMP_2x1";;;
3;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
4;"C1";"TantalC_SizeC_Reflow";1;"47uF/16V";;;
5;"C2";"SMD-0805";1;"100nF";;;
6;"C3";"SMD-0805";1;"100pF";;;
7;"C4,C5,C6,C7";"SMD-0805";4;"10nF";;;
8;"D1";"Diode-SMB_Standard";1;"SMBJ15A-E3/52";;;
9;"D2,D3,D4,D5";"SMB_Standard";4;"SMBJ15A-E3/52";;;
10;"R1,R3,R4,R5,R6,R7,R8,R9,R10";"SMD-0805";9;"10k";;;
11;"R2";"SMD-0805";1;"510";;;
12;"R11,R12,R13,R14";"SMD-0805";4;"20k";;;
13;"J1,J2,J12,J13,J14,J15,J16,J17,J18,J19";"WAGO256_2";10;"CONN1_1";;;
