"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT1,BT2";"BX0037";2;"BX0037";;;
2;"J34";"MCC-SD";1;"MCC-SD (kouka z modulu)";;;
3;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATMEGA1284P-AU";;;
4;"R9,R6,R7";"SMD-0805";3;"10k";;;
5;"C1,C2,C3,C4,C5,C6,C8,C13,C15,C17,C18,C19,C20,C21";"SMD-0805";14;"100nF";;;
6;"C7";"SMD-0805";1;"1uF";;;
7;"C9";"TantalC_SizeC_Reflow";1;"47uF";;;
8;"C10";"FIR1";1;"EMI_Filter_C";;;
9;"C11,C14";"SMD-0805";2;"10uF";;;
10;"C12";"SMD-0805";1;"1nF";;;
11;"C16";"SMD-0805";1;"4u7";;;
12;"D2";"SMA_Standard";1;"M4";;;
13;"F1,F2";"1812";2;"750mA";;;
14;"J1,J2,J3,J4,J5,J8,J12,J13,J14,J15,J16,J17,J18,J19,J20,J22,J23,J24,J25,J26,J27,J28,J29,J30";"Straight_2x01";24;"HEADER_2x01_PARALLEL";;;
15;"J6,J10,J33";"Straight_2x03";3;"HEADER_2x03_PARALLEL";;;
16;"J7";"SD_TE_2041021";1;"MCC-SD";;;
17;"J9,J11,J21,J32";"Straight_2x01";4;"HEADER_2x01";;;
18;"J31";"Straight_2x03";1;"HEADER_2x03";;;
19;"M1,M3,M2,M4";"MountingHole_3mm";4;"HOLE";;;
20;"R1,R2,R3,R4";"SMD-0805";4;"100";;;
21;"R5";"SMD-0805";1;"4k7";;;
22;"R8";"SMD-0805";1;"-";;;
23;"R10";"SMD-0805";1;"2k2";;;
24;"U2";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TPS22965-Q1";;;
25;"U4";"TSSOP-10_3x3mm_Pitch0.5mm";1;"PCF85263A";;;
26;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
27;"Y2";"ABS07";1;"ABS07-120-32.768KHZ-T";;;
28;"U1";"SOT-23";1;"ISL21080CIH320Z-TK";;;
29;"U5";"SOT-23";1;"LM4041CIM3-1.2(neosazovat)";;;
30;"SW1";"5MS1S102AM6QE";1;"5MS1S102AM6QE";;;
31;"D3";"FIX-LED-313";1;"HLMP-K150+FIX-LED-313";;;
32;"L1";"SMD-1210";1;"10uH - LQH32CN100K23L";;;
33;"BT3";"CH28-2032";1;"Battery_Cell-device";;;
