"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"R12,R9";"SMD-0805";2;"10k";;;
2;"M6";"BMI-S-210-F";1;"BMI-S-210-F";;;
3;"C1";"TantalC_SizeC_Reflow";1;"47uF";;;
4;"C3,C17";"SMD-0805";2;"4u7";;;
5;"C4,C6,C7,C8,C9";"SMD-0805";5;"10uF";;;
6;"C5";"SMD-0805";1;"1pF - 251R15S1R0AV4E";;;
7;"C10,C11,C12,C13,C14,C16,C20";"SMD-0805";7;"100nF";;;
8;"C15,C18";"SMD-0805";2;"15p";;;
9;"C19";"SMD-0805";1;"1nF NP0";;;
10;"D1";"Diode-SMA_Standard";1;"M4";;;
11;"J1";"Straight_2x03";1;"3.6V";;;
12;"J2,J3,J4,J5,J6,J7,J11";"Straight_2x01";7;"HEADER_2x01_PARALLEL";;;
13;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
14;"R2,R3,R4,R5";"SMD-0805";4;"100";;;
15;"R6";"SMD-0805";1;"470R";;;
16;"R10,R7";"SMD-0805";2;"1k";;;
17;"R11";"SMD-0805";1;"4k7";;;
18;"R13";"SMD-0805";1;"2k2";;;
19;"U1,U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"OPA2314";;;
20;"U4";"SOT-23-5_HandSoldering";1;"TS7211";;;
21;"U5";"SOT-23-5_HandSoldering";1;"TS5A4594";;;
22;"R15";"SMD-0805";1;"-";;;
23;"U3";"SOT-23";1;"ISL21080DIH312Z-TK  1V25";;;
24;"U6";"SOT-23";1;"LM4041CIM3-1.2(neosazovat)";;;
25;"M5";"BMIS-209-C";1;"BMIS-209-C";;;
26;"C21,C23";"FIR1";2;"EMI_Filter_C";;;
27;"C25";"FIR1";1;"EMI_1uF";;;
28;"R1";"SMD-0805";1;"10R";;;
29;"J8";"HAMAMATSU_S2744-09_rozs";1;"HEADER_2x01";;;
