"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"D1";"Diode-SMA_Standard";1;"M4";;;
2;"C1,C2,C3";"SMD-0805";3;"100nF";;;
3;"J1";"Straight_2x03";1;"5V";;;
4;"J2,J3";"Straight_2x02";2;"HEADER_2x02_PARALLEL";;;
5;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
6;"Q1";"SOT-23";1;"BC817-40";;;
7;"R1";"SMD-0805";1;"1k";;;
8;"R2";"SMD-0805";1;"150k";;;
9;"R3";"SMD-0805";1;"10k";;;
10;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"HEF4047BT.652";;;
11;"D2";"Diode-MiniMELF_Standard";1;"1N4148";;;
